text,rating,brand,reviewer,variant
Pengiriman cepat toko amanah mantap rekomen kurir mantap,5,erigo,Anonim,32
Bahan oke mantap,5,erigo,Anonim,Light Grey - 34
"Alhamdulillah barang sudah sampai pengiriman cepat
Kualitas produk: Real pick sesuai pesanan",5,erigo,Anonim,30
"Beli celana ukuran 32 , yang Dateng  pas di ukur pake penggaris ukuran 34 . alhasil jadi kebesaran . Untuk bahanya sih ok , cuma ada sedikit benang yg lepas di saku celana.",4,erigo,Anonim,32
"Rekomendasi banget buat kalian ErigoCinos. 
Tiktok shop mantap",5,erigo,Anonim,Light Grey - 36
Ok bangett bagus pokonya👌🏻👌🏻👍🏻👍🏻,5,erigo,Anonim,Light Grey - 36
"Parah lu min yang lain mah dapet stiker , kok gua ngga sihhhhh

Tapiii barang sesuaii sih mantap baguss",5,erigo,Anonim,38
"Barang sudah sampe dengan aman
Barang bagus sesuai 👍",5,erigo,Anonim,30
Celana original dari Official ERIGO bahan adem,5,erigo,Anonim,32
"modelnya bagus, warnanya cakep banget, pas dibadan udh 2kali beli ga pernah mengecewakan.",5,erigo,Wulan,32
"BB 73 TB 160... Besar ..
pagi yg suka ngpress silahkan pilih dibawah 36",5,erigo,Anonim,36
"barangnya bagus, kainnya lumayan tipis, ukuran ke kaki lumayan panjang utk tinggi badan 178cm, tapi lumayan nge press di kaki",5,erigo,Anonim,30
